 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
0.0258449,-0.2884776,8.8583799,0,1.6579655,-0.0003929,0.0362569
-0.4726656,-0.3319963,8.8604259,0.4999489,1.6577866,-0.0003219,0.0362653
-0.970998,-0.3754186,8.862472,0.9998978,1.6576434,-0.0002507,0.0362736
-1.4691535,-0.4187626,8.864518,1.4998467,1.6575359,-0.0001793,0.036282
-1.9671335,-0.4620463,8.866564,1.9997955,1.6574641,-0.0001079,0.0362904
-2.4649395,-0.5052879,8.86861,2.4997444,1.6574281,-3.63E-05,0.0362988
-2.9625727,-0.5485054,8.8706561,2.9996933,1.6574279,3.55E-05,0.0259972
-3.4610106,-0.5917974,8.8721211,3.4996422,1.6574375,-3E-07,0.0256857
-3.9593139,-0.6350776,8.8735684,3.9995911,1.6574276,-3.94E-05,0.0256899
-4.4574604,-0.6783344,8.8750157,4.49954,1.6573981,-7.85E-05,0.0256941
-4.9554578,-0.7215585,8.876463,4.9994888,1.6573491,-0.0001177,0.0256983
-5.453314,-0.7647409,8.8779103,5.4994377,1.6572804,-0.000157,0.0257025
-5.9510366,-0.8078723,8.8793576,5.9993866,1.6571922,-0.0001963,0.0185408
-6.4493838,-0.8510122,8.8804014,6.4993355,1.6571068,-0.0001406,0.0181874
-6.9476467,-0.8941095,8.8814253,6.9992844,1.6570516,-8.02E-05,0.0181895
-7.4457923,-0.9371765,8.8824492,7.4992333,1.6570266,-1.96E-05,0.0181916
-7.9438251,-0.9802289,8.883473,7.9991821,1.657032,4.1E-05,0.0181937
-8.4417496,-1.0232821,8.8844969,8.499131,1.6570676,0.0001017,0.0181958
-8.9395701,-1.0663519,8.8855207,8.9990799,1.6571336,0.0001624,0.0131685
-9.4378344,-1.1094963,8.8862616,9.4990288,1.6572015,0.0001023,0.0128751
-9.9360379,-1.1526611,8.886986,9.9989777,1.6572358,3.51E-05,0.0128761
-10.4341561,-1.1958274,8.8877103,10.4989266,1.6572365,-3.22E-05,0.0128772
-10.9321961,-1.2389787,8.8884346,10.9988754,1.6572036,-9.96E-05,0.0128782
-11.4301654,-1.282099,8.889159,11.4988243,1.657137,-0.000167,0.0128793
-11.9280712,-1.3251719,8.8898833,11.9987732,1.6570367,-0.0002344,0.0093233
-12.4262654,-1.3682166,8.8904076,12.4987221,1.6569379,-0.0001525,0.0091111
-12.9244281,-1.4112202,8.8909199,12.998671,1.6568844,-6.15E-05,0.0091117
-13.4225424,-1.4542042,8.8914323,13.4986199,1.6568763,2.94E-05,0.0091122
-13.9206122,-1.4971918,8.8919446,13.9985687,1.6569138,0.0001204,0.0091127
-14.4186415,-1.540206,8.892457,14.4985176,1.6569967,0.0002114,0.0091132
-14.916634,-1.5832701,8.8929693,14.9984665,1.6571252,0.0003025,0.0065864
-15.4147429,-1.6264131,8.8933396,15.4984154,1.6572541,0.0002029,0.0064448
-15.9128352,-1.6696055,8.8937019,15.9983643,1.6573279,9.27E-05,0.0064451
-16.4109105,-1.7128196,8.8940642,16.4983132,1.6573467,-1.77E-05,0.0064453
-16.9089769,-1.7560286,8.8944265,16.998262,1.6573103,-0.000128,0.0064456
-17.4070423,-1.7992054,8.8947888,17.4982109,1.6572187,-0.0002383,0.0064459
-17.905115,-1.842323,8.8951511,17.9981598,1.6570721,-0.0003486,0.0046472
-18.4031565,-1.8853595,8.8954123,18.4981087,1.6569266,-0.0002219,0.0045567
-18.9012139,-1.9283417,8.8956684,18.9980576,1.6568504,-8.33E-05,0.0045568
-19.3992921,-1.9713048,8.8959245,19.4980065,1.6568434,5.53E-05,0.004557
-19.8973939,-2.0142838,8.8961806,19.9979553,1.6569057,0.0001939,0.0045571
-20.3955219,-2.0573137,8.8964367,20.4979042,1.6570372,0.0003324,0.0045572
-20.8936789,-2.1004295,8.8966928,20.9978531,1.657238,0.0004708,0.0032771
-21.391624,-2.1436331,8.8968769,21.497802,1.6574331,0.0002963,0.0032191
-21.8895997,-2.1869137,8.8970578,21.9977509,1.6575341,0.0001078,0.0032192
-22.3876273,-2.2302258,8.8972387,22.4976998,1.6575409,-8.07E-05,0.0032193
-22.8857173,-2.2735231,8.8974196,22.9976486,1.6574534,-0.0002691,0.0032193
-23.38388,-2.3167592,8.8976005,23.4975975,1.6572718,-0.0004573,0.0032194
-23.8821257,-2.3598877,8.8977814,23.9975464,1.6569961,-0.0006453,0.0023091
-24.3800197,-2.402838,8.8979111,24.4974953,1.6567144,-0.0004669,0.0022694
-24.8779875,-2.4456776,8.8980386,24.9974442,1.6565296,-0.0002726,0.0022694
-25.3760481,-2.4884568,8.8981661,25.4973931,1.6564419,-7.85E-05,0.0022694
-25.8742011,-2.5312243,8.8982936,25.9973419,1.6564511,0.0001155,0.0022695
-26.3724459,-2.5740287,8.8984211,26.4972908,1.6565574,0.0003093,0.0022695
-26.8707822,-2.6169185,8.8985487,26.9972397,1.6567605,0.0005029,0.0016337
-27.3685761,-2.6598707,8.8986404,27.4971886,1.656953,0.0002473,0.0016032
-27.866448,-2.7028915,8.8987305,27.9971375,1.6570074,-2.96E-05,0.0016032
-28.3644473,-2.745916,8.8988206,28.4970864,1.6569234,-0.0003062,0.0016032
-28.8625926,-2.7888762,8.8989107,28.9970352,1.6567013,-0.0005823,0.0016032
-29.3609028,-2.8317045,8.8990007,29.4969841,1.6563411,-0.0008579,0.0016032
-29.8593965,-2.874333,8.8990908,29.996933,1.655843,-0.001133,0.0011393
-30.3572599,-2.9166462,8.8991548,30.4968819,1.6553517,-0.0007985,0.0011107
-30.8552489,-2.9587699,8.8992172,30.9968308,1.6550454,-0.0004271,0.0011107
-31.3533866,-3.0007991,8.8992796,31.4967797,1.6549246,-5.64E-05,0.0011108
-31.8516451,-3.0428243,8.899342,31.9967285,1.654989,0.0003139,0.0011108
-32.3499966,-3.0849361,8.8994044,32.4966774,1.6552385,0.0006839,0.0011108
-32.8484133,-3.1272252,8.8994668,32.9966263,1.6556731,0.0010537,0.0007943
-33.3465203,-3.1697341,8.8995114,33.4965752,1.6561737,0.0009077,0.0007665
-33.8446217,-3.2124702,8.8995545,33.9965241,1.6565798,0.0007168,0.0007665
-34.342737,-3.2553873,8.8995975,34.496473,1.6568904,0.000526,0.0007665
-34.8408554,-3.2984366,8.8996406,34.9964218,1.6571057,0.0003352,0.0007665
-35.3389657,-3.3415694,8.8996837,35.4963707,1.6572257,0.0001446,0.0007665
-35.837057,-3.3847368,8.8997267,35.9963196,1.6572503,-4.61E-05,0.0006084
-36.3356265,-3.4279756,8.8997609,36.4962685,1.657458,0.001011,0.0005893
-36.834133,-3.4714632,8.899794,36.9962174,1.6582665,0.0022209,0.0005893
-37.3324076,-3.5154885,8.8998271,37.4961663,1.6596807,0.0034345,0.0005893
-37.8303444,-3.5603461,8.8998602,37.9961151,1.6617022,0.0046534,0.0005893
-38.3278372,-3.6063304,8.8998933,38.496064,1.664333,0.0058793,0.0005893
-38.8247801,-3.653736,8.8999264,38.9960129,1.6675756,0.0071138,-7.38E-05
-39.3224867,-3.7029813,8.8999223,39.4959618,1.6713123,0.0077509,-0.0001712
-39.8198407,-3.7541389,8.8999127,39.9959107,1.6753233,0.0082923,-0.0001712
-40.3167703,-3.8073351,8.899903,40.4958596,1.679601,0.0088247,-0.0001712
-40.8134087,-3.8627162,8.8998934,40.9958084,1.6841417,0.0093463,-0.0001712
-41.3098892,-3.9204287,8.8998838,41.4957573,1.688941,0.0098556,-0.0001712
-41.806345,-3.9806187,8.8998742,41.9957062,1.6939942,0.010351,0.000402
-42.3039285,-4.043483,8.8998968,42.4956551,1.6987539,0.0083084,0.0004869
-42.8014271,-4.1084446,8.8999241,42.995604,1.7023228,0.0059218,0.0004869
-43.2982545,-4.1748201,8.8999515,43.4955529,1.7046961,0.0035477,0.0004869
-43.7939847,-4.2419457,8.8999788,43.9955017,1.7058759,0.0011645,0.0004869
-44.2881912,-4.3091576,8.9000062,44.4954506,1.7058567,-0.0012499,0.0004869
-44.7804479,-4.3757919,8.9000335,44.9953995,1.7046259,-0.0037187,0.0003435
-45.2766066,-4.4421445,8.9000528,45.4953484,1.7029995,-0.0023235,0.0003248
-45.7718417,-4.5077892,8.9000711,45.9952973,1.7023243,-0.0003729,0.0003248
-46.2662235,-4.5732274,8.9000893,46.4952462,1.7026295,0.0015977,0.0003248
-46.7606227,-4.6390685,8.9001076,46.995195,1.7039157,0.0035547,0.0003248
-47.2559098,-4.7059219,8.9001258,47.4951439,1.7061726,0.0054653,0.0003248
-47.7529553,-4.7743971,8.9001441,47.9950928,1.7093787,0.0072976,-0.0230001
-48.2326847,-4.841335,8.898852,48.4950417,1.7076926,-0.0145321,-0.0234065
-48.716393,-4.9053589,8.8975369,48.9949906,1.6953649,-0.0357542,-0.0234031
-49.2063629,-4.9615042,8.8962218,49.4949395,1.6727909,-0.0554511,-0.0233996
-49.7045259,-5.0047569,8.8949067,49.9948883,1.6405478,-0.0730616,-0.0233961
-50.2128133,-5.0301034,8.8935916,50.4948372,1.5994311,-0.0879549,-0.0233927
-50.7331565,-5.0325298,8.8922765,50.9947861,1.5504869,-0.0994892,-0.0635064
-51.2472426,-5.0086903,8.8887052,51.494735,1.4981507,-0.1035968,-0.0717553
-51.7625572,-4.9569325,8.8846684,51.9946839,1.4424681,-0.1124921,-0.0717227
-52.2732636,-4.8752298,8.8806316,52.4946328,1.3804729,-0.1285393,-0.0716901
-52.7696678,-4.7616363,8.8765948,52.9945816,1.3090772,-0.1536261,-0.0716575
-53.2420759,-4.6142065,8.8725579,53.4945305,1.2244428,-0.1908852,-0.0716249
-53.6807939,-4.4309947,8.8685211,53.9944794,1.1217176,-0.2445846,-1.8733679
-54.1090204,-4.188702,8.7622766,54.4944283,0.9858348,-0.2932154,-4.4730241
-54.5222064,-3.866242,8.5032302,54.9943772,0.8299218,-0.2984342,-4.3388003
-54.8677689,-3.4991101,8.2441838,55.4943261,0.6811629,-0.2890201,-4.2045765
-55.1498223,-3.096837,7.9851375,55.9942749,0.5433614,-0.270445,-4.0703528
-55.3724808,-2.668953,7.7260911,56.4942238,0.4180001,-0.2489221,-5.3438115
-55.5427974,-2.2155942,7.3721923,56.9941727,0.3022271,-0.2324398,-13.0673248
-55.6694426,-1.6965637,6.4252027,57.4941216,0.1753427,-0.2446812,-11.273563
-55.7261816,-1.1830286,5.4782131,57.9940705,0.042281,-0.2733266,-9.4798012
-55.7118929,-0.6889865,4.5312236,58.4940194,-0.1042361,-0.323537,-7.6860394
-55.6254546,-0.2284351,3.584234,58.9939682,-0.2728559,-0.4008642,-0.5728618
-55.4564293,0.2025741,3.503417,59.4939171,-0.4830265,-0.5073285,4.3731083
-55.1925294,0.5825424,4.0800235,59.993866,-0.7357305,-0.5664271,5.0381264
-54.8303799,0.8889373,4.65663,60.4938149,-0.9973731,-0.5158612,5.7031446
