# 0b1f37cb-7d46-45b1-abc5-37137e8484f4
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0258449; -0.2884776; 1.6579655; -0.0003929; 8.8583799; 0.0362569
0.4999489; -0.4726656; -0.3319963; 1.6577866; -0.0003219; 8.8604259; 0.0362653
0.9998978; -0.9709980; -0.3754186; 1.6576434; -0.0002507; 8.8624720; 0.0362736
1.4998467; -1.4691535; -0.4187626; 1.6575359; -0.0001793; 8.8645180; 0.0362820
1.9997955; -1.9671335; -0.4620463; 1.6574641; -0.0001079; 8.8665640; 0.0362904
2.4997444; -2.4649395; -0.5052879; 1.6574281; -0.0000363; 8.8686100; 0.0362988
2.9996933; -2.9625727; -0.5485054; 1.6574279; 0.0000355; 8.8706561; 0.0259972
3.4996422; -3.4610106; -0.5917974; 1.6574375; -0.0000003; 8.8721211; 0.0256857
3.9995911; -3.9593139; -0.6350776; 1.6574276; -0.0000394; 8.8735684; 0.0256899
4.4995400; -4.4574604; -0.6783344; 1.6573981; -0.0000785; 8.8750157; 0.0256941
4.9994888; -4.9554578; -0.7215585; 1.6573491; -0.0001177; 8.8764630; 0.0256983
5.4994377; -5.4533140; -0.7647409; 1.6572804; -0.0001570; 8.8779103; 0.0257025
5.9993866; -5.9510366; -0.8078723; 1.6571922; -0.0001963; 8.8793576; 0.0185408
6.4993355; -6.4493838; -0.8510122; 1.6571068; -0.0001406; 8.8804014; 0.0181874
6.9992844; -6.9476467; -0.8941095; 1.6570516; -0.0000802; 8.8814253; 0.0181895
7.4992333; -7.4457923; -0.9371765; 1.6570266; -0.0000196; 8.8824492; 0.0181916
7.9991821; -7.9438251; -0.9802289; 1.6570320; 0.0000410; 8.8834730; 0.0181937
8.4991310; -8.4417496; -1.0232821; 1.6570676; 0.0001017; 8.8844969; 0.0181958
8.9990799; -8.9395701; -1.0663519; 1.6571336; 0.0001624; 8.8855207; 0.0131685
9.4990288; -9.4378344; -1.1094963; 1.6572015; 0.0001023; 8.8862616; 0.0128751
9.9989777; -9.9360379; -1.1526611; 1.6572358; 0.0000351; 8.8869860; 0.0128761
10.4989266; -10.4341561; -1.1958274; 1.6572365; -0.0000322; 8.8877103; 0.0128772
10.9988754; -10.9321961; -1.2389787; 1.6572036; -0.0000996; 8.8884346; 0.0128782
11.4988243; -11.4301654; -1.2820990; 1.6571370; -0.0001670; 8.8891590; 0.0128793
11.9987732; -11.9280712; -1.3251719; 1.6570367; -0.0002344; 8.8898833; 0.0093233
12.4987221; -12.4262654; -1.3682166; 1.6569379; -0.0001525; 8.8904076; 0.0091111
12.9986710; -12.9244281; -1.4112202; 1.6568844; -0.0000615; 8.8909199; 0.0091117
13.4986199; -13.4225424; -1.4542042; 1.6568763; 0.0000294; 8.8914323; 0.0091122
13.9985687; -13.9206122; -1.4971918; 1.6569138; 0.0001204; 8.8919446; 0.0091127
14.4985176; -14.4186415; -1.5402060; 1.6569967; 0.0002114; 8.8924570; 0.0091132
14.9984665; -14.9166340; -1.5832701; 1.6571252; 0.0003025; 8.8929693; 0.0065864
15.4984154; -15.4147429; -1.6264131; 1.6572541; 0.0002029; 8.8933396; 0.0064448
15.9983643; -15.9128352; -1.6696055; 1.6573279; 0.0000927; 8.8937019; 0.0064451
16.4983132; -16.4109105; -1.7128196; 1.6573467; -0.0000177; 8.8940642; 0.0064453
16.9982620; -16.9089769; -1.7560286; 1.6573103; -0.0001280; 8.8944265; 0.0064456
17.4982109; -17.4070423; -1.7992054; 1.6572187; -0.0002383; 8.8947888; 0.0064459
17.9981598; -17.9051150; -1.8423230; 1.6570721; -0.0003486; 8.8951511; 0.0046472
18.4981087; -18.4031565; -1.8853595; 1.6569266; -0.0002219; 8.8954123; 0.0045567
18.9980576; -18.9012139; -1.9283417; 1.6568504; -0.0000833; 8.8956684; 0.0045568
19.4980065; -19.3992921; -1.9713048; 1.6568434; 0.0000553; 8.8959245; 0.0045570
19.9979553; -19.8973939; -2.0142838; 1.6569057; 0.0001939; 8.8961806; 0.0045571
20.4979042; -20.3955219; -2.0573137; 1.6570372; 0.0003324; 8.8964367; 0.0045572
20.9978531; -20.8936789; -2.1004295; 1.6572380; 0.0004708; 8.8966928; 0.0032771
21.4978020; -21.3916240; -2.1436331; 1.6574331; 0.0002963; 8.8968769; 0.0032191
21.9977509; -21.8895997; -2.1869137; 1.6575341; 0.0001078; 8.8970578; 0.0032192
22.4976998; -22.3876273; -2.2302258; 1.6575409; -0.0000807; 8.8972387; 0.0032193
22.9976486; -22.8857173; -2.2735231; 1.6574534; -0.0002691; 8.8974196; 0.0032193
23.4975975; -23.3838800; -2.3167592; 1.6572718; -0.0004573; 8.8976005; 0.0032194
23.9975464; -23.8821257; -2.3598877; 1.6569961; -0.0006453; 8.8977814; 0.0023091
24.4974953; -24.3800197; -2.4028380; 1.6567144; -0.0004669; 8.8979111; 0.0022694
24.9974442; -24.8779875; -2.4456776; 1.6565296; -0.0002726; 8.8980386; 0.0022694
25.4973931; -25.3760481; -2.4884568; 1.6564419; -0.0000785; 8.8981661; 0.0022694
25.9973419; -25.8742011; -2.5312243; 1.6564511; 0.0001155; 8.8982936; 0.0022695
26.4972908; -26.3724459; -2.5740287; 1.6565574; 0.0003093; 8.8984211; 0.0022695
26.9972397; -26.8707822; -2.6169185; 1.6567605; 0.0005029; 8.8985487; 0.0016337
27.4971886; -27.3685761; -2.6598707; 1.6569530; 0.0002473; 8.8986404; 0.0016032
27.9971375; -27.8664480; -2.7028915; 1.6570074; -0.0000296; 8.8987305; 0.0016032
28.4970864; -28.3644473; -2.7459160; 1.6569234; -0.0003062; 8.8988206; 0.0016032
