 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-0.0757058,0.3748194,11.4292594,0,1.7706332,0.000506,0.0113218
-0.5656041,0.2755325,11.4297546,0.4998484,1.7708763,0.000467,0.0113223
-1.0554798,0.1761311,11.4302497,0.9996969,1.7711,0.000428,0.0113228
-1.5453315,0.0766254,11.4307448,1.4995453,1.7713043,0.0003891,0.0113232
-2.0351579,-0.0229743,11.43124,1.9993937,1.771489,0.0003502,0.0113237
-2.5249577,-0.1226579,11.4317351,2.4992422,1.7716543,0.0003112,0.0113242
-3.0147295,-0.2224151,11.4322302,2.9990906,1.7718001,0.0002723,0.0081353
-3.5045473,-0.3222515,11.4325859,3.498939,1.7719287,0.0002424,0.0080219
-3.9943396,-0.4221445,11.4329367,3.9987875,1.7720425,0.0002128,0.0080221
-4.4841048,-0.5220863,11.4332874,4.4986359,1.7721415,0.0001832,0.0080224
-4.9738441,-0.6220695,11.4336381,4.9984844,1.7722256,0.0001536,0.0080226
-5.4635587,-0.7220868,11.4339888,5.4983328,1.772295,0.000124,0.0080229
-5.9532497,-0.8221309,11.4343395,5.9981812,1.7723496,9.44E-05,0.005842
-6.4430232,-0.9222168,11.4345949,6.4980297,1.772395,8.87E-05,0.0056833
-6.932781,-1.0223222,11.4348434,6.9978781,1.7724383,8.47E-05,0.0056834
-7.4225143,-1.1224441,11.4350918,7.4977265,1.7724796,8.07E-05,0.0056835
-7.9122219,-1.2225814,11.4353402,7.997575,1.772519,7.67E-05,0.0056837
-8.4019029,-1.3227328,11.4355887,8.4974234,1.7725563,7.27E-05,0.0056838
-8.8915561,-1.422897,11.4358371,8.9972718,1.7725916,6.87E-05,0.0041926
-9.381318,-1.5231005,11.4360204,9.4971203,1.7726219,5.11E-05,0.004027
-9.8710661,-1.6233142,11.4361964,9.9969687,1.7726427,3.2E-05,0.0040271
-10.360785,-1.7235302,11.4363724,10.4968171,1.7726539,1.29E-05,0.0040271
-10.8504746,-1.8237434,11.4365484,10.9966656,1.7726556,-6.3E-06,0.0040272
-11.340135,-1.923949,11.4367244,11.496514,1.7726477,-2.54E-05,0.0040273
-11.829766,-2.0241421,11.4369004,11.9963624,1.7726302,-4.45E-05,0.0030064
-12.3195357,-2.1243532,11.4370318,12.4962109,1.7726093,-3.51E-05,0.0028537
-12.8092995,-2.2245541,11.4371565,12.9960593,1.7725952,-2.14E-05,0.0028537
-13.2990299,-2.3247428,11.4372812,13.4959078,1.772588,-7.6E-06,0.0028537
-13.7887252,-2.4249223,11.437406,13.9957562,1.7725876,6.1E-06,0.0028538
-14.2783831,-2.5250957,11.4375307,14.4956046,1.7725941,1.99E-05,0.0028538
-14.7680018,-2.6252662,11.4376554,14.9954531,1.7726074,3.36E-05,0.0021538
-15.2577776,-2.7254764,11.4377495,15.4953015,1.7726209,1.53E-05,0.0020225
-15.7475495,-2.8256897,11.4378379,15.9951499,1.7726225,-9.1E-06,0.0020225
-16.2372809,-2.9258924,11.4379263,16.4949984,1.7726118,-3.35E-05,0.0020225
