 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-0.0882843,-0.597877,6.2947117,0,-1.4737298,0.0169254,0.000639
0.3638061,-0.5521456,6.2947574,0.4498504,-1.4663371,0.015612,0.000639
0.8143005,-0.5033491,6.294803,0.8997008,-1.4595612,0.0142932,0.000639
1.2631166,-0.4517957,6.2948487,1.3495512,-1.4534031,0.012967,0.000639
1.710172,-0.3977935,6.2948944,1.7994016,-1.4478642,0.011631,0.000639
2.1553842,-0.3416507,6.29494,2.2492521,-1.4429468,0.0102826,0.000639
2.5986707,-0.2836755,6.2949857,2.6991025,-1.4386538,0.0089188,0.000639
3.0399491,-0.224176,6.2950313,3.1489529,-1.4349893,0.0075365,0.0002975
3.487843,-0.1622343,6.2950526,3.5988033,-1.4318177,0.0066457,0.0001534
3.937274,-0.0987003,6.2950636,4.0486537,-1.4289581,0.0059504,0.0001534
4.3846713,-0.0342236,6.2950745,4.4985041,-1.4264293,0.0052349,0.0001534
4.8301537,0.0310512,6.2950855,4.9483545,-1.4242369,0.0045003,0.0001534
5.27384,0.0969795,6.2950965,5.3982049,-1.4223863,0.0037477,0.0001534
5.715849,0.1634168,6.2951074,5.8480554,-1.4208824,0.0029782,0.0001534
6.1562996,0.2302183,6.2951184,6.2979058,-1.4197299,0.0021931,8.6E-05
6.601373,0.2981725,6.2951245,6.7477562,-1.4188701,0.0017776,4.24E-05
7.0489677,0.3668804,6.2951275,7.1976066,-1.4181038,0.0016058,4.24E-05
7.4951909,0.4357095,6.2951306,7.647457,-1.4174182,0.0014307,4.24E-05
7.9400958,0.504629,6.2951336,8.0973074,-1.4168141,0.0012524,4.24E-05
8.3837357,0.5736083,6.2951366,8.5471578,-1.4162924,0.001071,4.24E-05
8.826164,0.6426169,6.2951397,8.9970082,-1.415854,0.0008868,4.24E-05
9.2674339,0.711624,6.2951427,9.4468587,-1.4154995,0.0006997,2.05E-05
9.712392,0.781349,6.2951441,9.8967091,-1.4152446,0.0003947,9.7E-06
10.1586767,0.8513629,6.2951448,10.3465595,-1.4151488,2.82E-05,9.7E-06
10.6040013,0.921232,6.2951455,10.7964099,-1.4152195,-0.0003423,9.7E-06
