# 2503f119-6959-4dd1-96a0-551bd1398f4c
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0882843; -0.5978770; -1.4737298; 0.0169254; 6.2947117; 0.0006390
0.4498504; 0.3638061; -0.5521456; -1.4663371; 0.0156120; 6.2947574; 0.0006390
0.8997008; 0.8143005; -0.5033491; -1.4595612; 0.0142932; 6.2948030; 0.0006390
1.3495512; 1.2631166; -0.4517957; -1.4534031; 0.0129670; 6.2948487; 0.0006390
1.7994016; 1.7101720; -0.3977935; -1.4478642; 0.0116310; 6.2948944; 0.0006390
2.2492521; 2.1553842; -0.3416507; -1.4429468; 0.0102826; 6.2949400; 0.0006390
2.6991025; 2.5986707; -0.2836755; -1.4386538; 0.0089188; 6.2949857; 0.0006390
3.1489529; 3.0399491; -0.2241760; -1.4349893; 0.0075365; 6.2950313; 0.0002975
3.5988033; 3.4878430; -0.1622343; -1.4318177; 0.0066457; 6.2950526; 0.0001534
4.0486537; 3.9372740; -0.0987003; -1.4289581; 0.0059504; 6.2950636; 0.0001534
4.4985041; 4.3846713; -0.0342236; -1.4264293; 0.0052349; 6.2950745; 0.0001534
4.9483545; 4.8301537; 0.0310512; -1.4242369; 0.0045003; 6.2950855; 0.0001534
5.3982049; 5.2738400; 0.0969795; -1.4223863; 0.0037477; 6.2950965; 0.0001534
5.8480554; 5.7158490; 0.1634168; -1.4208824; 0.0029782; 6.2951074; 0.0001534
6.2979058; 6.1562996; 0.2302183; -1.4197299; 0.0021931; 6.2951184; 0.0000860
6.7477562; 6.6013730; 0.2981725; -1.4188701; 0.0017776; 6.2951245; 0.0000424
7.1976066; 7.0489677; 0.3668804; -1.4181038; 0.0016058; 6.2951275; 0.0000424
7.6474570; 7.4951909; 0.4357095; -1.4174182; 0.0014307; 6.2951306; 0.0000424
8.0973074; 7.9400958; 0.5046290; -1.4168141; 0.0012524; 6.2951336; 0.0000424
8.5471578; 8.3837357; 0.5736083; -1.4162924; 0.0010710; 6.2951366; 0.0000424
8.9970082; 8.8261640; 0.6426169; -1.4158540; 0.0008868; 6.2951397; 0.0000424
9.4468587; 9.2674339; 0.7116240; -1.4154995; 0.0006997; 6.2951427; 0.0000205
9.8967091; 9.7123920; 0.7813490; -1.4152446; 0.0003947; 6.2951441; 0.0000097
10.3465595; 10.1586767; 0.8513629; -1.4151488; 0.0000282; 6.2951448; 0.0000097
10.7964099; 10.6040013; 0.9212320; -1.4152195; -0.0003423; 6.2951455; 0.0000097
11.2462603; 11.0484633; 0.9908956; -1.4154574; -0.0007162; 6.2951462; 0.0000097
11.6961107; 11.4921604; 1.0602929; -1.4158635; -0.0010928; 6.2951469; 0.0000097
12.1459611; 11.9351902; 1.1293633; -1.4164384; -0.0014716; 6.2951476; 0.0000097
12.5958115; 12.3776505; 1.1980460; -1.4171824; -0.0018519; 6.2951483; -0.0000117
13.0456620; 12.8228380; 1.2667645; -1.4181679; -0.0025780; 6.2951475; -0.0000158
13.4955124; 13.2682282; 1.3349846; -1.4195083; -0.0033721; 6.2951463; -0.0000158
13.9453628; 13.7132910; 1.4024630; -1.4212053; -0.0041685; 6.2951452; -0.0000158
14.3952132; 14.1581007; 1.4690497; -1.4232595; -0.0049663; 6.2951441; -0.0000158
14.8450636; 14.6027316; 1.5345951; -1.4256709; -0.0057647; 6.2951429; -0.0000158
15.2949140; 15.0472580; 1.5989491; -1.4284394; -0.0065627; 6.2951418; -0.0000154
15.7447644; 15.4917359; 1.6619594; -1.4315638; -0.0073207; 6.2951407; -0.0000112
16.1946148; 15.9360549; 1.7234735; -1.4349053; -0.0075754; 6.2951399; -0.0000112
16.6444653; 16.3806661; 1.7834891; -1.4383581; -0.0078140; 6.2951391; -0.0000112
17.0943157; 16.8258058; 1.8419876; -1.4419167; -0.0080352; 6.2951383; -0.0000112
17.5441661; 17.2717102; 1.8989502; -1.4455751; -0.0082383; 6.2951375; -0.0000112
17.9940165; 17.7186156; 1.9543582; -1.4493272; -0.0084222; 6.2951367; -0.0000112
18.4438669; 18.1667582; 2.0081930; -1.4531664; -0.0085862; 6.2951359; -0.0000039
18.8937173; 18.6147799; 2.0602553; -1.4570360; -0.0081913; 6.2951356; 0.0000134
19.3435677; 19.0605600; 2.1104131; -1.4603434; -0.0065624; 6.2951366; 0.0000134
19.7934181; 19.5074677; 2.1593641; -1.4629346; -0.0049703; 6.2951375; 0.0000134
20.2432685; 19.9551392; 2.2073855; -1.4648190; -0.0034043; 6.2951385; 0.0000134
20.6931190; 20.4032108; 2.2547549; -1.4660032; -0.0018541; 6.2951394; 0.0000134
21.1429694; 20.8513188; 2.3017494; -1.4664906; -0.0003093; 6.2951404; 0.0000134
21.5928198; 21.2990993; 2.3486466; -1.4662815; 0.0012404; 6.2951414; -0.0006608
22.0426702; 21.7435288; 2.3954817; -1.4647884; 0.0087735; 6.2950941; -0.0014953
22.4925206; 22.1841077; 2.4437199; -1.4575975; 0.0236463; 6.2949873; -0.0014953
22.9423710; 22.6248097; 2.4966503; -1.4438554; 0.0381819; 6.2948804; -0.0014952
23.3922214; 23.0663201; 2.5572913; -1.4237181; 0.0520298; 6.2947736; -0.0014952
23.8420718; 23.5093243; 2.6286617; -1.3974528; 0.0648057; 6.2946667; -0.0014952
24.2919223; 23.9545078; 2.7137800; -1.3654496; 0.0761021; 6.2945599; -0.0014952
24.7417727; 24.4025558; 2.8156648; -1.3282320; 0.0855151; 6.2944530; -0.0082428
25.1916231; 24.8531093; 2.9369865; -1.2870699; 0.0886252; 6.2938639; -0.0149738
25.6414735; 25.3030488; 3.0784876; -1.2449713; 0.0906555; 6.2927936; -0.0149712
26.0913239; 25.7465315; 3.2391912; -1.2007803; 0.0975630; 6.2917232; -0.0149687
26.5411743; 26.1766808; 3.4178149; -1.1526499; 0.1102063; 6.2906529; -0.0149661
26.9910247; 26.5866200; 3.6130765; -1.0983693; 0.1304459; 6.2895826; -0.0149636
27.4408751; 26.9694724; 3.8236936; -1.0350838; 0.1615997; 6.2885122; -0.0149610
27.8907256; 27.3183615; 4.0483836; -0.9589137; 0.2092499; 6.2874419; -0.0112742
28.3405760; 27.6872400; 4.3383791; -0.8461539; 0.2620731; 6.2866352; -0.0079661
28.7904264; 28.0366568; 4.6933491; -0.7055629; 0.3018397; 6.2860651; -0.0079654
29.2402768; 28.3077974; 5.0623138; -0.5593729; 0.3352312; 6.2854951; -0.0079647
29.6901272; 28.5066334; 5.4386228; -0.4110819; 0.3596904; 6.2849250; -0.0079640
30.1399776; 28.6391365; 5.8156255; -0.2638146; 0.3756462; 6.2843550; 0.0075358
30.5898280; 28.7115198; 6.1900681; -0.1163311; 0.3980903; 6.2848944; 0.0190572
31.0396784; 28.7277318; 6.5704746; 0.0273195; 0.3391269; 6.2862583; 0.0190613
31.4895289; 28.6916962; 6.9767120; 0.1413357; 0.2187449; 6.2876222; 0.0190654
31.9393793; 28.6078253; 7.4309142; 0.2155557; 0.1109959; 6.2889861; 0.0190696
32.3892297; 28.4805319; 7.9552153; 0.2546730; 0.0423264; 6.2903500; 0.0095412
32.8390801; 28.3651703; 8.3858960; 0.2668280; 0.0160292; 6.2910323; 0.0050210
33.2889305; 28.2592075; 8.7700674; 0.2706419; 0.0040609; 6.2913913; 0.0050213
33.7387809; 28.1453192; 9.1802143; 0.2704670; -0.0043976; 6.2917503; 0.0050216
34.1886313; 28.0263740; 9.6117505; 0.2669403; -0.0111220; 6.2921093; 0.0050219
34.6384817; 27.9052406; 10.0600899; 0.2603591; -0.0171342; 6.2924684; 0.0050221
35.0883322; 27.7847877; 10.5206462; 0.2507825; -0.0231263; 6.2928274; 0.0050224
35.5381826; 27.6678838; 10.9888332; 0.2380745; -0.0296730; 6.2931864; 0.0050227
35.9880330; 27.5573978; 11.4600648; 0.2219108; -0.0373652; 6.2935454; 0.0040919
36.4378834; 27.4557286; 11.9320001; 0.2018838; -0.0433712; 6.2938379; 0.0015666
36.8877338; 27.3639547; 12.4049631; 0.1816580; -0.0405746; 6.2939499; 0.0015667
37.3375842; 27.2827578; 12.8716236; 0.1631092; -0.0377236; 6.2940619; 0.0015667
37.7874346; 27.2111824; 13.3310089; 0.1462467; -0.0347866; 6.2941738; 0.0015667
38.2372850; 27.1482730; 13.7821462; 0.1310912; -0.0317203; 6.2942858; 0.0015668
38.6871354; 27.0930744; 14.2240627; 0.1176778; -0.0284666; 6.2943978; 0.0015668
39.1369859; 27.0446311; 14.6557856; 0.1060608; -0.0249474; 6.2945098; 0.0015668
39.5868363; 27.0019876; 15.0763419; 0.0963179; -0.0210590; 6.2946217; 0.0015536
40.0366867; 26.9641174; 15.4855592; 0.0885437; -0.0166012; 6.2947328; -0.0003256
40.4865371; 26.9207474; 15.9914922; 0.0837504; -0.0016165; 6.2947095; -0.0003256
