?,Raceline,Speed changing,,,,,,,,,,
Sepang/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,226.07,239.1,276.02,84.02,331.9,577.14,382.36,n/a,n/a,n/a,399.97,n/a
RMSE,0.09433196,0.09425326,0.09223654,0.09427834,0.10934264,0.13443989,0.13677256,n/a,n/a,n/a,0.09151989,n/a
R2,0.96097087,0.96103596,0.96268554,0.96101523,0.9475615,0.9207266,0.91795178,n/a,n/a,n/a,0.96326313,n/a
Explain variance,0.99098516,0.99105817,0.99217944,0.99104186,0.97585413,0.94946755,0.94679718,n/a,n/a,n/a,0.99254364,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,30.66,30.82,33.73,24.01,37.86,42.42,78.95,n/a,n/a,59.62,141.93,107.44
RMSE,0.10241702,0.10231205,0.10060893,0.10237503,0.13028041,0.15068087,0.10950681,n/a,n/a,0.10390791,0.09983669,0.10548277
R2,0.95424209,0.95433584,0.95584347,0.95427961,0.92595767,0.94282806,0.94768766,n/a,n/a,0.9529002,0.95651873,0.95146166
Explain variance,0.98395329,0.98411971,0.9860452,0.98409755,0.95537426,0.94869137,0.98005105,n/a,n/a,0.98332556,0.98648869,0.98145046
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,19.2,18.41,27.31,14.57,16.56,21.04,39.13,n/a,n/a,n/a,53.3,n/a
RMSE,0.1115692,0.1114808,0.10907591,0.1115425,0.13552826,0.11156936,0.11751996,n/a,n/a,n/a,0.10860159,n/a
R2,0.94560893,0.94569508,0.94801277,0.94563496,0.91974008,0.94560877,0.93965208,n/a,n/a,n/a,0.94846393,n/a
Explain variance,0.97566259,0.97576129,0.97895568,0.97571799,0.94761846,0.97566251,0.97195186,n/a,n/a,n/a,0.97928864,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Centerline,Speed changing,,,,,,,,,,
Sepang/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,200.69,135.49,197.24,128.19,212.16,193.33,n/a,n/a,n/a,n/a,364.89,n/a
RMSE,0.06176927,0.06160005,0.05686949,0.06164766,0.07472234,0.06162422,n/a,n/a,n/a,n/a,0.05600074,n/a
R2,0.9846705,0.98475438,0.98700603,0.9847308,0.97756717,0.98474241,n/a,n/a,n/a,n/a,0.9874,n/a
Explain variance,0.98955304,0.98963227,0.99149292,0.98960687,0.98157834,0.98956002,n/a,n/a,n/a,n/a,0.99192726,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,33.97,47.81,35.34,23.59,36.95,76,n/a,n/a,n/a,n/a,16.85,n/a
RMSE,0.07590774,0.07563971,0.07122412,0.07571862,0.092804,0.07590774,n/a,n/a,n/a,n/a,0.07063379,n/a
R2,0.97693253,0.97709514,0.9796913,0.97704733,0.96552047,0.97693253,n/a,n/a,n/a,n/a,0.98002656,n/a
Explain variance,0.9817863,0.98201928,0.9843631,0.98197411,0.96962586,0.9817863,n/a,n/a,n/a,n/a,0.98519623,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,23.62,26.21,34.71,7.71,11.9,28.83,15.22,n/a,n/a,n/a,18,n/a
RMSE,0.08690732,0.08758651,0.08259735,0.96939039,0.11781783,0.17327954,0.1732806,n/a,n/a,n/a,0.08302016,n/a
R2,0.96993585,0.9694641,0.97284384,0.96939039,0.94474669,0.88048271,0.88048124,n/a,n/a,n/a,0.9725651,n/a
Explain variance,0.97519153,0.97478407,0.97779047,0.97471058,0.9496801,0.88573378,0.88573232,n/a,n/a,n/a,0.97841365,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Raceline,Speed capped,,,,,,,,,,
Sepang/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,120.49,134.49,19.8,239.94,n/a,98.96,n/a,n/a,n/a,337.86,n/a
RMSE,n/a,0.15768123,0.05626349,0.0579899,0.05780808,n/a,0.06366741,n/a,n/a,n/a,0.07817591,n/a
R2,n/a,0.86065443,0.98225866,0.98115319,0.98127118,n/a,0.97728214,n/a,n/a,n/a,0.96574854,n/a
Explain variance,n/a,0.95703116,0.98761259,0.98529214,0.98405704,n/a,0.98331838,n/a,n/a,n/a,0.96856959,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
